instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,70,18205.943,88205943
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,22,2900.387,24900387
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,22,3214.867,25214867
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,20,3295.72,23295720
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,20,3377.62,23377620
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,22,3168.941,25168941
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,50,8967.948,58967948
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,56,11142.712,67142712
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,0,51,10614.192,61614192
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,40,11740.152,51740152
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,48,8824.716,56824716
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,12,145,42247.512,12187247512
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,220,54,19616.877,220073616877
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,276,38,13811.687,276051811687
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,111,29538.503,10140538503
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,312,27,9929.021,312036929021
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,837.437,10837437
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,824.802,10824802
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,21,2798.462,23798462
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,21,3082.875,24082875
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,3408.858,23408858
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3015.834,22015834
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,21,2937.465,23937465
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,44,8033.536,52033536
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,47,8986.693,55986693
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,42,10050.024,52050024
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,38,9076.124,47076124
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,47,8766.16,55766160
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,74,17351.19,91351190
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,71,17796.001,88796001
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,68,19487.33,87487330
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,65,18007.56,83007560
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,72,17845.521,89845521
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,22,2924.749,24924749
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,23,3466.644,26466644
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,20,3433.39,23433390
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,20,3449.27,23449270
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,22,3005.266,25005266
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,46,8419.818,54419818
