instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap,solOverTime
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_2.txt,dqn,300,0,35,,41419139,299763.3090798783,[(t:299.450-v:6419.139)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_5.txt,dqn,300,264,23,,264028829813,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_1.txt,dqn,300,478,23,,478028996458,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_4.txt,dqn,300,484,17,,484024013229,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc101.txt,dqn,300,0,13,,14025954,220296.89834169508,[(t:193.231-v:1492.858)-(t:200.565-v:1490.754)-(t:203.405-v:1475.614)-(t:205.995-v:1382.125)-(t:211.310-v:1368.349)-(t:214.290-v:1307.040)-(t:217.044-v:1219.596)-(t:219.695-v:1217.190)-(t:221.889-v:1154.851)-(t:224.545-v:1104.278)-(t:227.579-v:1099.345)-(t:230.121-v:1025.954)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_5.txt,dqn,300,502,22,,502027367230,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_3.txt,dqn,300,500,21,,500026881068,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc103.txt,dqn,300,0,13,,14351910,255759.63347624292,[(t:233.046-v:1651.555)-(t:236.291-v:1646.368)-(t:246.033-v:1642.342)-(t:249.162-v:1639.724)-(t:252.815-v:1638.275)-(t:258.662-v:1637.886)-(t:261.815-v:1634.356)-(t:265.211-v:1573.421)-(t:268.766-v:1572.889)-(t:272.387-v:1554.648)-(t:276.436-v:1534.943)-(t:283.346-v:1503.001)-(t:286.654-v:1499.217)-(t:289.855-v:1495.919)-(t:293.344-v:1427.048)-(t:296.249-v:1354.127)-(t:299.236-v:1352.513)-(t:301.876-v:1351.910)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_2.txt,dqn,300,508,22,,508027358206,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc102.txt,dqn,300,0,12,,13017583,204654.47474248172,[(t:128.483-v:1878.238)-(t:212.944-v:1678.994)-(t:215.533-v:1651.201)-(t:218.009-v:1650.801)-(t:220.624-v:1650.232)-(t:223.058-v:1637.288)-(t:225.358-v:1607.172)-(t:227.533-v:1605.469)-(t:230.087-v:1603.898)-(t:232.687-v:1569.755)-(t:234.993-v:1518.865)-(t:237.332-v:1509.948)-(t:239.661-v:1481.484)-(t:241.805-v:1476.550)-(t:244.265-v:1436.782)-(t:246.787-v:1435.632)-(t:249.418-v:1424.123)-(t:251.985-v:1323.543)-(t:254.547-v:1221.464)-(t:257.200-v:1157.173)-(t:259.307-v:1127.421)-(t:262.116-v:1122.029)-(t:264.682-v:1117.352)-(t:267.248-v:1065.333)-(t:269.707-v:1027.277)-(t:272.485-v:1023.189)-(t:294.857-v:1019.113)-(t:307.528-v:1017.583)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc104.txt,dqn,300,0,11,,12386112,236060.21886195798,[(t:182.474-v:1797.578)-(t:188.064-v:1772.519)-(t:193.435-v:1770.405)-(t:198.875-v:1763.981)-(t:201.821-v:1760.626)-(t:204.313-v:1722.798)-(t:206.434-v:1722.565)-(t:208.443-v:1718.889)-(t:210.752-v:1718.656)-(t:213.033-v:1718.369)-(t:216.637-v:1716.089)-(t:219.106-v:1703.121)-(t:221.652-v:1702.717)-(t:224.213-v:1699.616)-(t:226.801-v:1698.841)-(t:229.054-v:1693.616)-(t:231.531-v:1681.911)-(t:233.605-v:1681.550)-(t:235.950-v:1613.599)-(t:238.391-v:1613.376)-(t:240.733-v:1609.296)-(t:243.107-v:1600.208)-(t:245.472-v:1598.278)-(t:247.840-v:1520.946)-(t:249.991-v:1509.515)-(t:252.125-v:1508.362)-(t:254.295-v:1503.353)-(t:256.353-v:1494.506)-(t:258.478-v:1494.161)-(t:260.590-v:1489.101)-(t:262.919-v:1488.679)-(t:265.087-v:1469.636)-(t:267.518-v:1465.168)-(t:269.732-v:1464.972)-(t:271.795-v:1460.582)-(t:273.942-v:1460.367)-(t:277.333-v:1396.942)-(t:279.607-v:1394.551)-(t:299.838-v:1386.755)-(t:308.337-v:1386.112)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc105.txt,dqn,300,0,10,,10830478,181090.6386252148,[(t:140.727-v:1931.685)-(t:160.282-v:1750.739)-(t:166.500-v:1714.101)-(t:168.465-v:1648.554)-(t:173.127-v:1624.041)-(t:175.385-v:1603.697)-(t:177.642-v:1567.852)-(t:179.926-v:1564.972)-(t:182.173-v:1564.127)-(t:186.520-v:1508.650)-(t:188.949-v:1505.708)-(t:191.517-v:1503.965)-(t:193.862-v:1494.408)-(t:196.083-v:1479.798)-(t:198.382-v:1478.814)-(t:200.443-v:1449.034)-(t:202.657-v:1446.626)-(t:204.609-v:1388.721)-(t:206.541-v:1340.021)-(t:208.649-v:1331.683)-(t:211.300-v:1326.057)-(t:213.232-v:1259.600)-(t:215.882-v:1195.257)-(t:217.887-v:1193.257)-(t:220.022-v:1125.212)-(t:222.056-v:1074.291)-(t:223.860-v:1071.474)-(t:225.927-v:1019.455)-(t:228.116-v:1018.907)-(t:230.238-v:933.631)-(t:232.121-v:870.177)-(t:234.161-v:868.326)-(t:236.540-v:830.478)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_3.txt,dqn,300,48,21,,48026666298,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_1.txt,dqn,300,54,24,,54028538999,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_1.txt,dqn,300,302,20,,302024345862,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_2.txt,dqn,300,62,23,,62027847100,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_4.txt,dqn,300,64,17,,64022127044,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_5.txt,dqn,300,66,26,,66030746659,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_2.txt,dqn,300,280,25,,280030943617,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_3.txt,dqn,300,324,16,,324019445049,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_4.txt,dqn,300,322,10,,322013270048,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_5.txt,dqn,300,192,36,,192044880405,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_2.txt,dqn,300,536,20,,536024428528,300000.0,[]
