bandit,instance,reward,timeout,seed,-a,Result,bestObj,solOverTime,integralPrimalGap,history
ppo,examples/tsp/tsplib/pr136.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr136 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822179812434368,======,135000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/si175.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-si175 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822180614166898,======,174000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroB150.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroB150 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822181825716846,======,149000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr226.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr226 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822182719800348,======,225000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/gr137.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-gr137 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822183073918960,======,136000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/bier127.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-bier127 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822183218721451,======,125001312390.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr76.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr76 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822183829944288,======,75000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr264.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr264 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822184232951675,======,263000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroA100.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroA100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822184262009295,======,98003385660.0,[],900.0,[]
ppo,examples/tsp/tsplib/si535.tsp,r3,900,0,ppo --device=cuda:5 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-si535 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822186035790388,======,531000919000.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil101.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil101 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822186669275112,======,99000065116.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil51.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil51 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822188172501036,======,50000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/rd100.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-rd100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822187867282833,======,98002268694.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil76.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil76 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822188629917903,======,75000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroC100.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroC100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822188913365837,======,99000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/gr24.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-gr24 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822189966930376,======,23000000000.0,[],900.0,[]
ppo,examples/tsp/tsplib/rat575.tsp,r3,900,1,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=1 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-rat575 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822190514739047,======,574000000000.0,[],900.0,[]
