instance,bandit,timeout,objective,integralPrimalGap
examples/csp/csp_300/carseq_300_8_20_53.txt,epsilongreedy-tuned,300,0,7.919
examples/csp/csp_300/carseq_300_8_20_56.txt,epsilongreedy-tuned,300,0,9.548
examples/csp/csp_100/carseq_100_8_20_82.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,epsilongreedy-tuned,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_86.txt,epsilongreedy-tuned,300,4,300.000
examples/csp/csp_100/carseq_100_8_20_88.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_98.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_99.txt,epsilongreedy-tuned,300,2,300.000
examples/csp/csp_200/pb_200_06.txt,epsilongreedy-tuned,300,6,300.000
examples/csp/csp_200/pb_200_08.txt,epsilongreedy-tuned,300,8,300.000
examples/csp/csp_300/carseq_300_8_20_80.txt,epsilongreedy-tuned,300,0,26.167
examples/csp/csp_200/pb_200_09.txt,epsilongreedy-tuned,300,10,300.000
examples/csp/csp_300/carseq_300_8_20_76.txt,epsilongreedy-tuned,300,0,45.765
examples/csp/csp_200/pb_200_10.txt,epsilongreedy-tuned,300,19,300.000
examples/csp/csp_300/carseq_300_8_20_40.txt,epsilongreedy-tuned,300,2,300.000
examples/csp/csp_300/carseq_300_8_20_45.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_62.txt,bestslopefirst,300,0,1.425
examples/csp/csp_300/carseq_300_8_20_47.txt,epsilongreedy-tuned,300,8,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,bestslopefirst,300,0,1.368
examples/csp/csp_100/carseq_100_8_20_71.txt,bestslopefirst,300,0,2.157
examples/csp/csp_100/carseq_100_8_20_72.txt,bestslopefirst,300,0,1.105
examples/csp/csp_100/carseq_100_8_20_73.txt,bestslopefirst,300,0,0.989
examples/csp/csp_100/carseq_100_8_20_77.txt,bestslopefirst,300,0,2.247
examples/csp/csp_100/carseq_100_8_20_64.txt,bestslopefirst,300,0,16.989
examples/csp/csp_100/carseq_100_8_20_82.txt,bestslopefirst,300,0,10.919
examples/csp/csp_300/carseq_300_8_20_62.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_78.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_81.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_300/pb_300_06.txt,epsilongreedy-tuned,300,12,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,bestslopefirst,300,0,1.235
examples/csp/csp_100/carseq_100_8_20_94.txt,bestslopefirst,300,0,0.731
examples/csp/csp_300/pb_300_07.txt,epsilongreedy-tuned,300,5,300.000
examples/csp/csp_300/pb_300_08.txt,epsilongreedy-tuned,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,epsilongreedy-tuned,300,15,300.000
examples/csp/csp_300/pb_300_10.txt,epsilongreedy-tuned,300,25,300.000
examples/csp/csp_100/16-81.txt,bestslopefirst,300,2,300.000
examples/csp/csp_200/pb_200_07.txt,bestslopefirst,300,0,11.319
examples/csp/csp_300/carseq_300_8_20_38.txt,bestslopefirst,300,0,1.951
examples/csp/csp_100/21-90.txt,bestslopefirst,300,2,1.071
examples/csp/csp_100/36-92.txt,bestslopefirst,300,2,3.210
examples/csp/csp_100/4-72.txt,bestslopefirst,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_47.txt,bestslopefirst,300,0,13.464
examples/csp/csp_300/carseq_300_8_20_53.txt,bestslopefirst,300,0,14.711
examples/csp/csp_300/carseq_300_8_20_56.txt,bestslopefirst,300,0,13.926
examples/csp/csp_300/carseq_300_8_20_62.txt,bestslopefirst,300,0,7.655
examples/csp/csp_100/6-76.txt,bestslopefirst,300,6,0.293
examples/csp/csp_300/carseq_300_8_20_76.txt,bestslopefirst,300,0,19.840
examples/csp/csp_300/carseq_300_8_20_80.txt,bestslopefirst,300,0,14.483
examples/csp/csp_300/carseq_300_8_20_78.txt,bestslopefirst,300,0,36.179
examples/csp/csp_100/carseq_100_8_20_81.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_86.txt,bestslopefirst,300,4,300.000
examples/csp/csp_100/carseq_100_8_20_88.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_98.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_99.txt,bestslopefirst,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,bestslopefirst,300,6,300.000
examples/csp/csp_200/pb_200_08.txt,bestslopefirst,300,8,300.000
examples/csp/csp_200/pb_200_09.txt,bestslopefirst,300,10,300.000
examples/csp/csp_200/pb_200_10.txt,bestslopefirst,300,19,300.000
examples/csp/csp_100/carseq_100_8_20_62.txt,random,300,0,2.341
examples/csp/csp_100/carseq_100_8_20_64.txt,random,300,0,3.587
examples/csp/csp_300/carseq_300_8_20_40.txt,bestslopefirst,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,random,300,0,3.948
examples/csp/csp_100/carseq_100_8_20_72.txt,random,300,0,1.537
examples/csp/csp_100/carseq_100_8_20_73.txt,random,300,0,1.363
examples/csp/csp_100/carseq_100_8_20_71.txt,random,300,0,6.768
examples/csp/csp_100/carseq_100_8_20_77.txt,random,300,0,1.725
examples/csp/csp_300/carseq_300_8_20_45.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_82.txt,random,300,0,18.018
examples/csp/csp_100/carseq_100_8_20_86.txt,random,300,0,20.363
examples/csp/csp_100/carseq_100_8_20_90.txt,random,300,0,1.257
examples/csp/csp_100/carseq_100_8_20_94.txt,random,300,0,0.873
examples/csp/csp_100/carseq_100_8_20_88.txt,random,300,0,11.392
examples/csp/csp_300/carseq_300_8_20_81.txt,bestslopefirst,300,1,300.000
examples/csp/csp_300/pb_300_06.txt,bestslopefirst,300,9,300.000
examples/csp/csp_200/pb_200_07.txt,random,300,0,7.772
examples/csp/csp_300/pb_300_07.txt,bestslopefirst,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,bestslopefirst,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,bestslopefirst,300,10,300.000
examples/csp/csp_300/carseq_300_8_20_38.txt,random,300,0,6.518
examples/csp/csp_300/pb_300_10.txt,bestslopefirst,300,26,300.000
examples/csp/csp_100/16-81.txt,random,300,1,300.000
examples/csp/csp_100/21-90.txt,random,300,2,0.922
examples/csp/csp_100/36-92.txt,random,300,2,2.385
examples/csp/csp_300/carseq_300_8_20_53.txt,random,300,0,11.259
examples/csp/csp_100/4-72.txt,random,300,1,300.000
examples/csp/csp_100/6-76.txt,random,300,6,0.278
examples/csp/csp_300/carseq_300_8_20_47.txt,random,300,0,25.146
examples/csp/csp_300/carseq_300_8_20_62.txt,random,300,0,11.132
examples/csp/csp_300/carseq_300_8_20_76.txt,random,300,0,12.520
examples/csp/csp_100/carseq_100_8_20_81.txt,random,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,random,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_80.txt,random,300,0,25.391
examples/csp/csp_300/carseq_300_8_20_56.txt,random,300,0,55.591
examples/csp/csp_100/carseq_100_8_20_98.txt,random,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_99.txt,random,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,random,300,6,300.000
examples/csp/csp_200/pb_200_08.txt,random,300,8,300.000
examples/csp/csp_200/pb_200_09.txt,random,300,10,300.000
examples/csp/csp_200/pb_200_10.txt,random,300,20,300.000
examples/csp/csp_100/carseq_100_8_20_62.txt,ucb-tuned,300,0,11.095
examples/csp/csp_300/carseq_300_8_20_40.txt,random,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,ucb-tuned,300,0,1.480
examples/csp/csp_300/carseq_300_8_20_45.txt,random,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_72.txt,ucb-tuned,300,0,16.412
examples/csp/csp_100/carseq_100_8_20_73.txt,ucb-tuned,300,0,0.885
examples/csp/csp_100/carseq_100_8_20_77.txt,ucb-tuned,300,0,0.778
examples/csp/csp_300/carseq_300_8_20_78.txt,random,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_81.txt,random,300,1,300.000
examples/csp/csp_300/pb_300_06.txt,random,300,5,300.000
examples/csp/csp_300/pb_300_07.txt,random,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,random,300,8,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,ucb-tuned,300,0,0.890
examples/csp/csp_100/carseq_100_8_20_94.txt,ucb-tuned,300,0,0.873
examples/csp/csp_300/pb_300_09.txt,random,300,9,300.000
examples/csp/csp_300/pb_300_10.txt,random,300,25,300.000
examples/csp/csp_100/16-81.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/21-90.txt,ucb-tuned,300,2,1.102
examples/csp/csp_100/36-92.txt,ucb-tuned,300,2,2.618
examples/csp/csp_100/4-72.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/6-76.txt,ucb-tuned,300,6,0.392
examples/csp/csp_300/carseq_300_8_20_38.txt,ucb-tuned,300,0,3.993
examples/csp/csp_100/carseq_100_8_20_64.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_88.txt,ucb-tuned,300,0,102.111
examples/csp/csp_100/carseq_100_8_20_71.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_53.txt,ucb-tuned,300,0,12.747
